leaf_uid,registration_method,leaf_style,fixed_image,moving_image,MSE,NCC,MI,SSIM,IoU,Hausdorff
ESWW0070020_1,LoFTR + TPS Individual,Leaf ROI,0,8,0.016281593590974808,0.03822458162903786,1.001482605934143,0.5976799130439758,0.9447965621948242,26.0
ESWW0070020_1,LoFTR + TPS Individual,Leaf ROI,0,9,0.019636070355772972,0.01589559018611908,1.0019620656967163,0.588020920753479,0.9475834965705872,23.0
ESWW0070020_1,LoFTR + TPS Individual,Leaf ROI,0,10,0.013171003200113773,0.0690203607082367,1.0011091232299805,0.6154869794845581,0.9354490041732788,24.0
ESWW0070020_1,LoFTR + TPS Individual,Leaf ROI,0,11,0.039313361048698425,0.08220001310110092,1.0032955408096313,0.5523487329483032,0.8727735280990601,121.1103515625
ESWW0070020_1,LoFTR + TPS Individual,Leaf ROI,0,12,0.04400395601987839,0.013032596558332443,1.001392126083374,0.5781661868095398,0.9429786205291748,30.0
ESWW0070020_1,LoFTR + TPS Individual,Leaf ROI,0,13,0.014805755577981472,0.015401715412735939,1.0032626390457153,0.5664858222007751,0.8209043741226196,123.17880249023438
ESWW0070020_1,LoFTR + TPS Semi-Sequential,Leaf ROI,0,1,0.004944993648678064,0.04353395849466324,1.0050283670425415,0.6128235459327698,0.9272132515907288,36.0
ESWW0070020_1,LoFTR + TPS Semi-Sequential,Leaf ROI,0,2,0.021679380908608437,0.041923750191926956,1.002173662185669,0.5661029815673828,0.9065893292427063,33.0
ESWW0070020_1,LoFTR + TPS Semi-Sequential,Leaf ROI,0,3,0.007982700131833553,0.05755336955189705,1.0020081996917725,0.6060221195220947,0.940062940120697,23.0
ESWW0070020_1,LoFTR + TPS Semi-Sequential,Leaf ROI,0,4,0.02969331294298172,0.02684018574655056,1.003238558769226,0.5721011757850647,0.9505940675735474,18.0
ESWW0070020_1,LoFTR + TPS Semi-Sequential,Leaf ROI,0,5,0.032152384519577026,0.020495377480983734,1.0011932849884033,0.5546042323112488,0.9219564199447632,27.0
ESWW0070020_1,LoFTR + TPS Semi-Sequential,Leaf ROI,0,6,0.017140954732894897,0.013860302977263927,1.0036954879760742,0.5726475119590759,0.8752039670944214,51.0
ESWW0070020_1,LoFTR + TPS Semi-Sequential,Leaf ROI,0,7,0.01332837250083685,0.0337022989988327,1.002225399017334,0.608788013458252,0.9287073016166687,25.495098114013672
ESWW0070020_1,LoFTR + TPS Semi-Sequential,Leaf ROI,0,8,0.016391903162002563,-0.0017962516285479069,1.0011346340179443,0.5701003670692444,0.9222429990768433,33.0
ESWW0070020_1,LoFTR + TPS Semi-Sequential,Leaf ROI,0,9,0.02063032239675522,0.0373179093003273,1.0017801523208618,0.577885091304779,0.9205818176269531,38.01315689086914
ESWW0070020_1,LoFTR + TPS Semi-Sequential,Leaf ROI,0,10,0.013842012733221054,0.00047348180669359863,1.0010788440704346,0.588813841342926,0.9230680465698242,30.0
ESWW0070020_1,LoFTR + TPS Semi-Sequential,Leaf ROI,0,11,0.04031294211745262,0.014089224860072136,1.0024423599243164,0.5640323162078857,0.9251196384429932,30.805843353271484
ESWW0070020_1,LoFTR + TPS Semi-Sequential,Leaf ROI,0,12,0.04350748285651207,0.002718333387747407,1.0010133981704712,0.5630635023117065,0.9207887649536133,33.0
ESWW0070020_1,LoFTR + TPS Semi-Sequential,Leaf ROI,0,13,0.01586729660630226,0.0011328092077746987,1.0022863149642944,0.5727065801620483,0.9075104594230652,32.24903106689453
ESWW0070020_10,Piecewise Affine,Leaf ROI,0,1,0.016070563346147537,0.08140955120325089,1.0090962648391724,0.32648763060569763,0.953199028968811,46.00358581542969
ESWW0070020_10,Piecewise Affine,Leaf ROI,0,2,0.01261149812489748,0.03946207836270332,1.0203229188919067,0.3192135989665985,0.9527550935745239,46.00358581542969
ESWW0070020_10,Piecewise Affine,Leaf ROI,0,3,0.010795745067298412,0.007373851258307695,1.0208473205566406,0.3323778808116913,0.953345537185669,46.00358581542969
